# key\tvalue\tscore
# key: pinyin (no spaces/tones)

youshui	有水	3
youmen	有们	3
youma	有吗	3
youna	有那	3
youzhe	有这	3
youzen	有怎	3
youwei	有为	3
youyin	有因	3
yousuo	有所	3
youke	有可	3
henni	很你	3
henhao	很好	3
henwo	很我	3
henshi	很是	3
hende	很的	3
henbu	很不	3
henzai	很在	3
henyou	很有	3
henhen	很很	3
henxiang	很想	3
henyao	很要	3
henqu	很去	3
henlai	很来	3
henhui	很会	3
henkan	很看	3
henting	很听	3
henshuo	很说	3
henxie	很谢	3
henqing	很请	3
hendui	很对	3
hencuo	很错	3
henzhong	很中	3
henguo	很国	3
henren	很人	3
hentian	很天	3
henqi	很气	3
henjin	很今	3
henming	很明	3
henzuo	很昨	3
henwan	很晚	3
henzao	很早	3
henshang	很上	3
henxia	很下	3
hendian	很点	3
hennian	很年	3
henyue	很月	3
henri	很日	3
hensheng	很生	3
hengong	很工	3
henxue	很学	3
henxi	很习	3
henjia	很家	3
henpeng	很朋	3
henlao	很老	3
hentong	很同	3
henxiao	很小	3
henda	很大	3
henduo	很多	3
henshao	很少	3
henmei	很没	3
henzhen	很真	3
henpiao	很漂	3
henliang	很亮	3
hengao	很高	3
henxing	很兴	3
henhe	很喝	3
henchi	很吃	3
henfan	很饭	3
henshui	很水	3
henmen	很们	3
henma	很吗	3
henna	很那	3
henzhe	很这	3
henzen	很怎	3
henwei	很为	3
henyin	很因	3
hensuo	很所	3
henke	很可	3
xiangni	想你	3
xianghao	想好	3
xiangwo	想我	3
xiangshi	想是	3
xiangde	想的	3
xiangbu	想不	3
xiangzai	想在	3
xiangyou	想有	3
xianghen	想很	3
xiangxiang	想想	3
xiangyao	想要	3
xiangqu	想去	3
xianglai	想来	3
xianghui	想会	3
xiangkan	想看	3
xiangting	想听	3
xiangshuo	想说	3
xiangxie	想谢	3
xiangqing	想请	3
xiangdui	想对	3
xiangcuo	想错	3
xiangzhong	想中	3
xiangguo	想国	3
xiangren	想人	3
xiangtian	想天	3
xiangqi	想气	3
xiangjin	想今	3
xiangming	想明	3
xiangzuo	想昨	3
xiangwan	想晚	3
xiangzao	想早	3
xiangshang	想上	3
xiangxia	想下	3
xiangdian	想点	3
xiangnian	想年	3
xiangyue	想月	3
xiangri	想日	3
xiangsheng	想生	3
xianggong	想工	3
xiangxue	想学	3
xiangxi	想习	3
xiangjia	想家	3
xiangpeng	想朋	3
xianglao	想老	3
xiangtong	想同	3
xiangxiao	想小	3
xiangda	想大	3
xiangduo	想多	3
xiangshao	想少	3
xiangmei	想没	3
xiangzhen	想真	3
xiangpiao	想漂	3
xiangliang	想亮	3
xianggao	想高	3
xiangxing	想兴	3
xianghe	想喝	3
xiangchi	想吃	3
xiangfan	想饭	3
xiangshui	想水	3
xiangmen	想们	3
xiangma	想吗	3
xiangna	想那	3
xiangzhe	想这	3
xiangzen	想怎	3
xiangwei	想为	3
xiangyin	想因	3
xiangsuo	想所	3
xiangke	想可	3
yaoni	要你	3
yaohao	要好	3
yaowo	要我	3
yaoshi	要是	3
